"","police_event_information_date_time_received","long","lat"
"270",2025-05-06 22:46:12,-86.7188566,36.3051956
"271",2025-05-06 22:56:58,-86.759419,36.2285049
"272",2025-05-06 22:59:40,-86.7132894,36.3223135
"273",2025-05-06 23:00:31,-86.7194029,36.249415
"274",2025-05-06 23:01:06,-86.7119281,36.2630626
"275",2025-05-06 23:01:47,-86.7604203,36.2252545
"276",2025-05-06 23:04:25,-86.5804473,35.5174913
"277",2025-05-06 23:06:53,-86.7165832,36.2635396
"278",2025-05-06 23:07:21,-86.7101408,36.2727714
"279",2025-05-06 23:07:30,-86.7114545,36.2722491
"280",2025-05-06 23:08:56,-86.759419,36.2285049
"281",2025-05-06 23:09:45,-86.7579177,36.2567096
"282",2025-05-06 23:12:43,-86.7101408,36.2727714
"283",2025-05-06 23:15:08,-86.7188566,36.3051956
"284",2025-05-06 23:15:15,-86.7576314,36.2586202
"285",2025-05-06 23:15:27,-86.7101408,36.2727714
"286",2025-05-06 23:18:28,-86.7547692,36.2710457
"287",2025-05-06 23:18:40,-86.6872507,36.2628468
"288",2025-05-06 23:19:11,-86.6922277,36.1849133
"289",2025-05-06 23:22:35,-86.7101408,36.2727714
"290",2025-05-06 23:22:52,-86.6916075,36.2631782
"291",2025-05-06 23:23:25,-86.7194334,36.2638253
"292",2025-05-06 23:23:40,-86.759419,36.2285049
"293",2025-05-06 23:26:41,-86.7100886,36.2734347
"294",2025-05-06 23:28:51,-86.7292252,36.2643705
"295",2025-05-06 23:30:03,-86.6922277,36.1849133
"296",2025-05-06 23:30:52,-86.755751,36.2692473
"297",2025-05-06 23:31:34,-86.7101408,36.2727714
"298",2025-05-06 23:33:07,-86.7114545,36.2722491
"299",2025-05-06 23:36:17,-86.7351716,36.2642019
"300",2025-05-06 23:36:19,-86.759419,36.2285049
"301",2025-05-06 23:40:58,-86.7581728,36.2597457
"302",2025-05-06 23:42:38,-86.7645272,36.2135537
"303",2025-05-06 23:45:06,-86.7114545,36.2722491
"304",2025-05-06 23:45:06,-86.7644872,36.2568169
"305",2025-05-06 23:45:40,-86.759419,36.2285049
"306",2025-05-06 23:50:55,-86.6922277,36.1849133
"307",2025-05-06 23:51:28,-86.7114545,36.2722491
"308",2025-05-06 23:57:50,-86.7579159,36.2563484
"309",2025-05-07 00:00:22,-86.7114545,36.2722491
"310",2025-05-07 00:04:40,-86.759419,36.2285049
"311",2025-05-07 00:09:26,-86.7114545,36.2722491
"312",2025-05-07 00:11:21,-86.7101408,36.2727714
"313",2025-05-07 00:13:29,-86.7114545,36.2722491
"314",2025-05-07 00:15:56,-86.7101408,36.2727714
"315",2025-05-07 00:22:51,-86.7718017,36.2305398
"316",2025-05-07 00:23:38,-86.7101408,36.2727714
"317",2025-05-07 00:32:19,-86.759419,36.2285049
"318",2025-05-07 00:39:03,-86.6849451,36.3065952
"319",2025-05-07 00:40:41,-86.7725881,36.1930558
"320",2025-05-07 00:44:34,-86.7574718,36.2507893
"321",2025-05-07 00:47:25,-86.706949,36.2834519
"322",2025-05-07 00:49:41,-86.6922277,36.1849133
"323",2025-05-07 00:54:04,-86.7460039,36.2249954
"324",2025-05-07 00:59:19,-86.6922277,36.1849133
"325",2025-05-07 01:04:34,NA,NA
"326",2025-05-07 01:05:54,-86.7103787,36.2711119
"327",2025-05-07 01:09:46,-86.7251593,36.2641217
"328",2025-05-07 01:16:58,-86.7175148,36.2636365
"329",2025-05-07 01:22:36,-86.7101408,36.2727714
"330",2025-05-07 01:26:14,-86.7425891,36.1960029
"331",2025-05-07 01:26:44,-86.6922277,36.1849133
"332",2025-05-07 01:34:11,-86.6922277,36.1849133
"333",2025-05-07 01:39:23,-86.7404395,36.2386641
"334",2025-05-07 01:42:29,-86.7165832,36.2635396
"335",2025-05-07 01:46:25,-86.6980222,36.295157
"336",2025-05-07 01:46:58,-86.7101408,36.2727714
"337",2025-05-07 01:47:37,-86.7119281,36.2630626
"338",2025-05-07 01:55:55,-86.8006308,36.2343946
"339",2025-05-07 01:56:55,-86.6308759,36.0964827
"340",2025-05-07 01:58:43,-86.7101408,36.2727714
"341",2025-05-07 02:01:48,-86.7536689,36.2048355
"342",2025-05-07 02:12:02,-86.7593981,36.2286221
"343",2025-05-07 02:17:11,-86.7602255,36.2271163
